subCategory_ids,subCategory_name
1,museos
2,Vitivinícolas
3,Iglesias
4,Casa de Valor Arquitectónico
5,Tradicionales
6,Nevado
7,Convento
8,Templos
9,Otros
10,Playas
11,Islas
12,Palacio
13,Parques
14,Murallas
15,Fortalezas
16,Puentes
17,Plazas
18,Biblioteca
19,Paseos peatonales
20,Miradores
21,Humedales
22,Miradores naturales
23,Ferias Artesanales
24,Barrios tradicionales
25,Quebradas
26,Jardines Botánicos y Viveros
27,Granadería
28,Casa-Hacienda
29,Alfarería y cerámica
30,Cerros
31,Capilla
32,Plazuelas
33,Plaza
34,Santuario
35,Artesanales
36,Lugares pintorescos de flora y fauna
37,Campos santos
38,Cañones
39,Complejo Histórico
40,Alamedas
41,Barrios históricos
42,Mercados  Artesanales
43,Zoológicos
44,Bosques
45,Históricos
46,Lomas
47,Malecones
48,Sitios de Batalla
49,Áreas de conservación privada
50,Valles
51,Bosque de Piedra
52,Pintura Rupestre
53,Agricultura
54,Camino Pintoresco
